Actual Count,Predicted Count,DayOfYear,Community Area
6,6.632590928047374,275,56.0
5,1.7388196486423417,275,55.0
3,4.736240187820179,275,54.0
18,11.523802296333113,275,53.0
3,3.852086724857746,275,52.0
4,5.746174191895781,275,51.0
1,2.6647031761465785,275,50.0
25,21.64735515755388,275,49.0
1,4.842711054420363,275,45.0
0,1.3173415963893702,275,47.0
18,16.458322103212804,275,46.0
26,21.09693600542163,275,44.0
36,28.176711743789497,275,43.0
8,9.917225393966879,275,42.0
7,6.948976864147545,275,41.0
3,3.772255017461471,275,57.0
3,4.8604028983894825,275,48.0
9,9.175791624871753,275,77.0
7,6.916721827043884,275,40.0
0,6.440792554102925,275,60.0
6,4.634228199021702,275,76.0
4,5.426029176030596,275,75.0
1,2.1158470890410324,275,74.0
13,9.770410529558703,275,73.0
5,2.6871808154803722,275,72.0
15,21.328503110009706,275,71.0
8,6.883030468593931,275,70.0
7,2.6182176790293648,275,59.0
22,21.18974890502755,275,69.0
12,16.4498358155256,275,67.0
20,16.42117634954318,275,66.0
6,5.340960223167661,275,65.0
0,3.674943766690821,275,64.0
9,5.8809976228752525,275,63.0
0,2.8653629663920506,275,62.0
9,11.593084427812693,275,61.0
19,16.571674798228933,275,68.0
11,4.910914195749544,275,39.0
6,6.6121678252241995,275,58.0
2,2.052110693703372,275,37.0
15,8.224766337586933,275,16.0
10,10.283317397181763,275,15.0
4,7.154445418397214,275,14.0
5,2.8635846755328784,275,13.0
1,1.7653783857141998,275,12.0
6,3.694735980809772,275,11.0
3,3.722997036996387,275,10.0
7,5.050044081189957,275,17.0
2,1.1185572093124223,275,9.0
19,10.928514267480029,275,7.0
21,19.7970295770369,275,6.0
5,3.93056857160778,275,5.0
6,7.201211302163776,275,4.0
16,15.160175882128971,275,3.0
15,13.158163676481035,275,2.0
21,16.28654588902167,275,1.0
37,36.752697739592506,275,8.0
2,1.856293908058566,275,18.0
10,10.873121742307415,275,38.0
5,4.233539372038528,275,20.0
1,2.957166096381575,275,36.0
9,9.016630632806855,275,35.0
4,4.544845707831948,275,34.0
10,7.392142646905756,275,33.0
15,12.9694755750949,275,19.0
13,10.439956901804669,275,31.0
10,12.985566243560944,275,30.0
21,22.245297048807817,275,29.0
22,23.596782092954705,275,32.0
22,12.252849424327863,275,27.0
10,12.016572832501124,275,26.0
44,44.96434934223388,275,25.0
17,24.62556042113542,275,24.0
23,18.503706045549155,275,23.0
11,13.950755087361511,275,22.0
2,7.584459964076641,275,21.0
30,33.50309229191855,275,28.0
